time,size_sent,size_rcv 
0,14.68125,118.75 
10,41.20078125,186.8125 
20,24.05078125,90.1046875 
30,38.58828125,185.76171875 
40,49.5546875,262.00625 
50,76.015625,383.16328125 
60,102.9109375,565.890625 
70,161.465625,745.57890625 
80,162.66171875,775.87890625 
90,172.60546875,826.74140625 
100,261.66953125,1227.39609375 
110,318.4890625,1431.4296875 
120,315.67421875,1038.390625 
130,257.4234375,460.7859375 
140,271.8578125,484.5140625 
150,262.31796875,426.7953125 
160,285.87734375,441.60546875 
170,240.46015625,350.68046875 
180,208.71796875,305.10625 
190,228.05703125,345.94453125 
200,182.6546875,293.37109375 
210,127.80390625,163.95546875 
220,218.9234375,127.0546875 
230,110.81953125,38.43359375 
240,69.46328125,24.45078125 
250,51.80703125,17.95546875 
260,52.68125,18.6109375 
270,44.2046875,16.18359375 
280,12.98359375,5.40234375 
290,3.62265625,1.2265625 
300,7.81328125,2.6984375 
310,2.86328125,0.98125 
320,0.7203125,0.2453125 
