time,size_sent,size_rcv 
0,14.68125,118.75 
10,55.88203125,305.5625 
20,79.9328125,395.6671875 
30,118.52109375,581.42890625 
40,168.07578125,843.43515625 
50,244.09140625,1226.5984375 
60,347.00234375,1792.4890625 
70,508.46796875,2538.06796875 
80,671.1296875,3313.946875 
90,843.73515625,4140.68828125 
100,1105.4046875,5368.084375 
110,1423.89375,6799.5140625 
120,1739.56796875,7837.9046875 
130,1996.99140625,8298.690625 
140,2268.84921875,8783.2046875 
150,2531.1671875,9210 
160,2817.04453125,9651.60546875 
170,3057.5046875,10002.2859375 
180,3266.22265625,10307.3921875 
190,3494.2796875,10653.33671875 
200,3676.934375,10946.7078125 
210,3804.73828125,11110.66328125 
220,4023.66171875,11237.71796875 
230,4134.48125,11276.1515625 
240,4203.94453125,11300.60234375 
250,4255.7515625,11318.5578125 
260,4308.4328125,11337.16875 
270,4352.6375,11353.35234375 
280,4365.62109375,11358.7546875 
290,4369.24375,11359.98125 
300,4377.05703125,11362.6796875 
310,4379.9203125,11363.6609375 
320,4380.640625,11363.90625 
