time,page 
0,81.96508695652173 
10,118.11767441860462 
20,1269.9205405405407 
30,621.5012258064517 
40,1001.586503649635 
50,960.279054644808 
60,1206.3113648648648 
70,3124.90333165829 
80,3085.241326771652 
90,3621.9939378881995 
100,2386.167780701755 
110,2205.4852350157726 
120,2789.281964227638 
130,4888.147704834599 
140,1161.1562066115682 
150,177.82510126582272 
160,153.35655900621123 
170,9.20423655913978 
180,8.79688235294118 
190,8.407377777777782 
200,1484.7132903225802 
210,9.09403846153846 
220,8.867833333333333 
227,6.073 
