time,size_sent,size_rcv 
0,12.7453125,82.3328125 
10,33.865625,155.16484375 
20,21.45078125,150.490625 
30,42.378125,232.38984375 
40,68.90390625,374.884375 
50,120.48984375,475.8453125 
60,145.1828125,497.1546875 
70,163.2328125,699.6875 
80,217.59296875,813.43203125 
90,243.7703125,985.996875 
100,335.32421875,1311.28984375 
110,433.265625,1610.85078125 
120,405.39609375,1251.4578125 
130,474.71171875,1007.5578125 
140,360.109375,648.64375 
150,307.3875,520.98671875 
160,238.2953125,389.2984375 
170,193.0296875,128.70546875 
180,135.6265625,51.0140625 
190,70.02890625,34.52890625 
200,46.75625,19.50390625 
210,13.96484375,4.90625 
220,4.27421875,1.471875 
230,3.56328125,1.2265625 
240,2.15703125,0.7359375 
250,2.140625,6.3890625 
260,9.41171875,8.59765625 
270,6.48828125,3.32734375 
275,3.6296875,2.4015625 
