time,connect,request 
0,3.8398749999999993,70.75199999999998 
10,1.5928333333333333,122.24254545454545 
20,1.6064999999999998,106.13435483870968 
30,1.6897999999999997,1589.850836734694 
40,1.5871153846153847,9232.867843750002 
50,1.4482272727272727,8285.447653846153 
60,1.814217391304348,23163.834 
70,1.4827674418604648,0 
80,1.4748636363636363,18786.215727272727 
90,1.431859375,29015.21857142857 
100,1.425684210526316,25382.840133333335 
110,1.298795454545455,49310.397716216205 
120,1.849925925925926,48664.403545454516 
130,0,55340.91272916668 
140,0,58055.39379487179 
150,1.2569745762711857,7570.934432432429 
160,2.019960264900661,1694.9282210321308 
170,1.3944242424242423,0.9522727272727269 
180,7.238,1.1737117117117117 
190,0,213.68531179775292 
200,0,947.9324311926604 
210,0,1932.4462808219191 
220,1.623,8063.42923076923 
230,1.743,53898.904888888894 
240,1.7886590909090911,60460.94231081082 
250,1.851489795918367,60476.78091304348 
260,1.5182499999999999,60500.40944444445 
