time,freemem@tsung_controller@ip-172-31-17-70 
0,3521.38671875 
10,3521.38671875 
20,3520.16015625 
30,3517.140625 
40,3513.390625 
50,3510.24609375 
60,3504.09765625 
70,3504.0 
80,3503.82421875 
90,3503.01953125 
100,3502.75390625 
110,3501.6953125 
120,3499.9375 
130,3498.07421875 
140,3496.53515625 
150,3496.30078125 
160,3474.8125 
170,3470.79296875 
180,3470.79296875 
190,3470.79296875 
200,3470.79296875 
210,3470.46875 
220,3470.46875 
230,3470.4453125 
240,3470.34375 
250,3469.87890625 
260,3469.46484375 
