time,cpu@tsung_controller@ip-172-31-17-70 
0,1.6921548193209082 
10,1.6921548193209082 
20,1.6921548193209082 
30,1.6921548193209082 
40,2.3069207622868606 
50,2.4024024024024024 
60,2.4024024024024024 
70,2.4024024024024024 
80,2.4024024024024024 
90,2.4024024024024024 
100,2.4024024024024024 
110,2.4024024024024024 
120,2.4024024024024024 
130,2.4024024024024024 
140,2.4024024024024024 
150,2.4024024024024024 
160,7.474747474747474 
170,7.474747474747474 
180,7.474747474747474 
190,7.474747474747474 
200,7.474747474747474 
210,7.474747474747474 
220,7.474747474747474 
230,7.474747474747474 
240,7.474747474747474 
250,7.474747474747474 
260,7.474747474747474 
