time,users,connected 
0,12,12 
10,25,12 
20,30,4 
30,42,14 
40,55,8 
50,81,29 
60,98,14 
70,130,28 
80,160,32 
90,224,62 
100,288,64 
110,361,61 
120,369,-3 
130,369,-10 
140,369,-88 
150,369,-80 
160,369,-52 
170,369,-50 
180,369,-21 
190,369,-16 
200,369,-6 
210,369,-8 
220,369,-2 
230,369,-2 
240,369,-1 
250,369,0 
258,369,-1 
