time,502,200,500,422,400,302,504,404 
210,17,1338,2293,295,1131,276,271,363 
220,322,1338,2328,295,1131,276,280,363 
230,477,1338,2328,295,1131,276,287,363 
240,575,1338,2328,295,1131,276,294,363 
250,647,1338,2328,295,1131,276,299,363 
260,720,1338,2328,295,1131,276,311,363 
270,778,1338,2328,296,1132,276,315,363 
280,794,1338,2329,296,1132,276,315,363 
290,799,1338,2329,296,1132,276,315,363 
300,810,1338,2329,296,1132,276,315,363 
310,814,1338,2329,296,1132,276,315,363 
320,815,1338,2329,296,1132,276,315,363 
