time,connect,request 
0,25.072,648.518 
10,25.072,648.518 
20,25.072,648.518 
30,25.072,648.518 
40,25.072,34893.307 
50,25.072,38335.331 
60,25.072,40097.485 
70,25.072,44552.111 
80,25.072,48239.067 
90,25.072,52537.375 
100,25.072,57337.242 
110,25.072,59923.724 
120,25.072,59933.341 
130,25.072,59996.995 
140,25.072,59996.995 
150,25.072,59996.995 
160,25.072,60000.346 
170,25.072,60000.346 
180,25.072,60000.346 
190,25.072,60000.346 
200,25.072,60000.346 
210,25.072,60000.346 
220,25.072,60000.346 
230,25.072,60000.346 
240,25.072,60000.346 
250,25.072,60000.346 
260,25.072,60000.346 
270,25.072,60000.346 
280,25.072,60000.346 
290,25.072,60000.346 
300,25.072,60000.346 
310,25.072,60000.346 
320,25.072,60000.346 
