time,200,500,422,400 
0,8,13,5,3 
10,18,47,14,11 
20,30,89,24,23 
30,46,150,39,44 
40,63,249,61,76 
50,84,395,90,127 
60,108,544,128,191 
70,152,747,174,257 
80,184,1009,222,357 
90,244,1277,286,454 
100,329,1743,397,614 
110,398,2279,508,840 
120,437,2803,617,1050 
130,437,3209,676,1255 
140,437,3464,746,1405 
150,437,3649,789,1532 
160,437,3777,824,1624 
170,437,3847,844,1680 
180,437,3879,855,1705 
190,437,3902,864,1723 
200,437,3927,871,1743 
210,437,3929,873,1745 
220,437,3932,873,1747 
224,437,3933,874,1748 
