time,200,500,422,400,302,404 
0,0.8,,,,0.2,0.2 
10,1.5,,0.4,,0.5,0.3 
20,3.4,,0.9,,0.9,1.1 
30,3.2,,1.1,,1,0.9 
40,5,,1.2,,1.6,1.6 
50,5.7,,1.7,,1.9,1.2 
60,7.7,,2.1,,2.2,2.5 
70,9.9,,3,,3.3,3.4 
80,11.7,,3.2,,3.8,3.8 
90,14.5,,4,,3.8,3.4 
100,22,,4.6,,5.2,5.4 
110,21.9,,5.7,,5.7,5.3 
120,17.8,1.5,4.5,1.4,4.3,3.9 
130,1.5,0,9.2,0.1,6.3,7.6 
136,0,0,0.6,0,0,0.1 
