time,size_sent,size_rcv 
0,22.6625,141.12265625 
10,31.625,192.8625 
20,40.58203125,157.12734375 
30,39.88984375,180.68125 
40,83.21171875,345.490625 
50,110.3546875,441.83046875 
60,129.590625,493.390625 
70,169.15546875,703.38515625 
80,160.8390625,630.2 
90,173.23125,852.33359375 
100,211.93125,827.73359375 
110,370.42890625,771.96328125 
120,365.68671875,542.8625 
130,329.23203125,580.58515625 
140,495.46484375,1061.8765625 
150,371.30625,683.2953125 
160,238.97734375,429.03671875 
170,183.2,323.0328125 
180,80.4859375,140.35859375 
190,54.47109375,95.7796875 
200,32.04453125,65.8 
210,24.609375,43.53984375 
220,17.6640625,28.896875 
230,8.640625,14.40703125 
240,0.61328125,1.53125 
250,0,1.98125 
258,5.07890625,6.70859375 
