time,freemem@tsung_controller@ip-172-31-22-181 
0,3520.9921875 
10,3518.92578125 
20,3514.84375 
30,3512.55859375 
40,3510.234375 
50,3505.67578125 
60,3500.71875 
70,3493.59375 
80,3485.82421875 
90,3483.484375 
100,3471.34375 
110,3447.4921875 
120,3438.484375 
130,3436.0703125 
140,3434.6328125 
150,3434.6328125 
160,3434.6328125 
170,3434.6328125 
180,3434.6328125 
190,3434.6328125 
200,3434.6328125 
210,3434.6328125 
220,3434.6328125 
230,3434.6328125 
240,3434.6328125 
250,3434.6328125 
258,3434.6328125 
