time,session 
30,5664.660499999999 
40,6391.426786498901 
50,0.0 
60,10343.034289466972 
70,11579.151859171532 
80,14154.559649518276 
90,15837.904602253764 
100,7544.278000000002 
110,6057.041080464145 
120,19396.38763377328 
130,14345.519423018091 
140,16859.45648408952 
150,19217.932076543624 
160,24878.758727333705 
170,11290.337775052143 
180,12412.111915152804 
190,13522.920775221788 
200,19408.691274835408 
210,17967.720366697074 
220,31019.58849999999 
230,50623.291111189974 
240,0.0 
250,0 
258,0.0 
