time,connect,request 
0,13.446,959.421 
10,13.446,5341.301 
20,13.446,5616.098 
30,13.446,5616.098 
40,13.446,5764.299 
50,13.446,49702.576 
60,13.446,56043.978 
70,13.446,56043.978 
80,13.446,56043.978 
90,13.446,56043.978 
100,45.883,56043.978 
110,45.883,59806.162 
120,45.883,59806.162 
130,45.883,59806.162 
140,45.883,59806.162 
150,45.883,59806.162 
160,45.883,59806.162 
170,45.883,59806.162 
180,45.883,59806.162 
190,45.883,59806.162 
200,45.883,59806.162 
210,45.883,59806.162 
220,45.883,59806.162 
230,45.883,59806.162 
240,45.883,59806.162 
250,45.883,59806.162 
258,45.883,59806.162 
