time,freemem@tsung_controller@ip-172-31-30-247 
0,3517.43359375 
10,3516.6875 
20,3514.515625 
30,3504.41796875 
40,3501.42578125 
50,3499.86328125 
60,3494.91015625 
70,3491.0546875 
80,3483.65625 
90,3467.44921875 
100,3460.4765625 
110,3448.015625 
120,3440.5625 
130,3438.953125 
140,3438.87109375 
150,3438.8828125 
160,3438.76953125 
170,3438.65625 
180,3438.54296875 
190,3438.4609375 
200,3445.33984375 
210,3445.2578125 
220,3448.5234375 
230,3448.52734375 
240,3448.5625 
250,3448.6328125 
260,3448.67578125 
