time,connect,request 
0,8.662,1038.265 
10,8.662,1038.265 
20,8.662,1038.265 
30,8.662,1038.265 
40,8.662,34182.931 
50,8.662,38275.805 
60,8.662,40992.488 
70,14.126,43457.869 
80,14.126,48179.524 
90,14.126,52833.673 
100,14.126,59216.978 
110,1030.404,59472.641 
120,1030.404,59984.964 
130,1030.404,59984.964 
140,1030.404,59984.964 
150,1030.404,59984.964 
160,1030.404,59992.595 
170,1030.404,59992.595 
180,1030.404,59992.595 
190,1030.404,59992.595 
200,1030.404,59992.595 
210,1030.404,59992.595 
220,1030.404,59992.595 
230,1030.404,59992.595 
240,1030.404,59992.595 
250,1030.404,59992.595 
260,1030.404,59998.984 
