time,users,connected 
0,6,6 
10,17,17 
20,28,26 
30,44,40 
40,67,63 
50,85,81 
60,104,101 
70,127,121 
80,156,150 
90,202,190 
100,258,247 
110,323,308 
120,334,327 
130,275,265 
140,212,213 
150,159,159 
160,113,112 
170,71,70 
180,37,35 
190,21,19 
200,11,11 
210,7,7 
220,5,5 
230,5,5 
240,4,4 
250,4,4 
260,2,3 
270,1,1 
275,0,0 
