time,size_sent,size_rcv 
0,12.7453125,82.3328125 
10,46.6109375,237.49765625 
20,68.06171875,387.98828125 
30,110.43984375,620.378125 
40,179.34375,995.2625 
50,299.83359375,1471.1078125 
60,445.01640625,1968.2625 
70,608.24921875,2667.95 
80,825.8421875,3481.38203125 
90,1069.6125,4467.37890625 
100,1404.93671875,5778.66875 
110,1838.20234375,7389.51953125 
120,2243.5984375,8640.97734375 
130,2718.31015625,9648.53515625 
140,3078.41953125,10297.17890625 
150,3385.80703125,10818.165625 
160,3624.10234375,11207.4640625 
170,3817.13203125,11336.16953125 
180,3952.75859375,11387.18359375 
190,4022.7875,11421.7125 
200,4069.54375,11441.21640625 
210,4083.50859375,11446.12265625 
220,4087.7828125,11447.59453125 
230,4091.34609375,11448.82109375 
240,4093.503125,11449.55703125 
250,4095.64375,11455.94609375 
260,4105.05546875,11464.54375 
270,4111.54375,11467.87109375 
275,4115.1734375,11470.27265625 
