time,freemem@tsung_controller@ip-172-31-22-251 
0,3516.06640625 
10,3516.95703125 
20,3516.96484375 
30,3516.96484375 
40,3516.96484375 
50,3516.96484375 
60,3516.96484375 
70,3516.96484375 
80,3516.96484375 
90,3516.96484375 
