time,page 
0,61.86600000000001 
10,170.55749180327868 
20,1311.436112903226 
30,1208.6420322580645 
40,868.0311702127659 
50,977.5252662721896 
60,1136.7430301507536 
70,2130.761853174603 
80,1888.152905349794 
90,2469.9518000000007 
100,3252.7742718446593 
110,1986.8601529605232 
120,2027.0450975935819 
130,3518.3665052192064 
140,3550.4438411552433 
150,571.4386268115945 
160,240.41399197860957 
170,232.92177133105812 
180,46.84259064327486 
190,164.84801041666682 
200,124.93937209302324 
210,7753.861142857143 
220,6565.256533333334 
230,11.626899999999997 
240,0 
250,47045.328 
260,7840.793666666666 
267,11.614333333333335 
