time,502,200,500,422,400,302,504,404 
100,4,735,740,40,288,45,4,46 
110,408,835,820,44,362,45,4,46 
120,911,929,923,50,484,45,5,46 
130,1156,984,1070,60,571,45,6,46 
140,1222,998,1491,90,746,45,8,46 
150,1222,998,1926,193,1020,45,9,46 
160,1222,998,2220,259,1206,45,9,60 
170,1222,998,2446,320,1355,45,9,66 
180,1222,998,2575,360,1457,45,9,68 
190,1222,998,2645,386,1509,45,9,68 
200,1222,998,2677,397,1536,45,9,68 
210,1222,1001,2685,403,1546,45,9,72 
220,1222,1003,2689,406,1555,45,9,78 
230,1222,1003,2692,409,1562,45,9,82 
240,1222,1003,2692,409,1562,45,9,82 
250,1222,1004,2692,409,1562,45,9,82 
260,1222,1005,2692,410,1566,45,9,86 
267,1222,1005,2692,411,1568,45,9,88 
