time,502,200,500,422,400,302,504,404 
100,0.4,14.8,12.5,0.4,4,0,0,1 
110,40.4,10,8,0.4,7.4,0,0,0 
120,50.3,9.4,10.3,0.6,12.2,0,0.1,0 
130,24.5,5.5,14.7,1,8.7,0,0.1,0 
140,6.6,1.4,42.1,3,17.5,0,0.2,0 
150,0,0,43.5,10.3,27.4,0,0.1,0 
160,0,0,29.4,6.6,18.6,0,0,1.4 
170,0,0,22.6,6.1,14.9,0,0,0.6 
180,0,0,12.9,4,10.2,0,0,0.2 
190,0,0,7,2.6,5.2,0,0,0 
200,0,0,3.2,1.1,2.7,0,0,0 
210,0,0.3,0.8,0.6,1,0,0,0.4 
220,0,0.2,0.4,0.3,0.9,0,0,0.6 
230,0,0,0.3,0.3,0.7,0,0,0.4 
240,0,0,0,0,0,0,0,0 
250,0,0.1,0,0,0,0,0,0 
260,0,0.1,0,0.1,0.4,0,0,0.4 
267,0,0,0,0.1,0.2,0,0,0.2 
