time,connect,request 
0,18.405,383.222 
10,18.405,950.288 
20,18.405,5487.393 
30,18.405,5487.393 
40,18.405,5568.538 
50,18.405,6333.052 
60,18.405,52840.36 
70,18.405,59890.933 
80,18.405,59890.933 
90,18.405,59890.933 
100,18.405,59890.933 
110,18.405,59890.933 
120,18.405,59890.933 
130,18.405,59890.933 
140,18.405,59890.933 
150,18.405,59890.933 
160,18.405,59890.933 
170,18.405,59890.933 
180,18.405,59890.933 
190,18.405,59890.933 
200,18.405,59890.933 
210,18.405,59890.933 
220,18.405,59890.933 
230,18.405,59890.933 
240,18.405,59890.933 
250,18.405,59890.933 
260,18.405,59890.933 
267,18.405,59890.933 
