time,cpu@tsung_controller@ip-172-31-24-205 
0,4.686468646864687 
10,4.686468646864687 
20,4.686468646864687 
30,4.686468646864687 
40,4.686468646864687 
50,4.686468646864687 
60,4.686468646864687 
70,4.686468646864687 
80,4.686468646864687 
90,4.686468646864687 
100,4.686468646864687 
110,4.686468646864687 
120,4.686468646864687 
130,4.954499494438827 
140,4.954499494438827 
150,4.954499494438827 
160,4.954499494438827 
170,4.954499494438827 
180,4.954499494438827 
190,4.954499494438827 
200,4.954499494438827 
210,4.954499494438827 
220,4.954499494438827 
230,4.954499494438827 
240,4.954499494438827 
250,4.954499494438827 
260,4.954499494438827 
267,4.954499494438827 
