time,502,200,500,422,400,302,504,404 
70,0.4,0.4,,,,0.6,,0.5 
80,14.1,1.9,,,1.7,0.1,,0.2 
90,27.6,2.1,,,3.7,0,,0.8 
100,53,0.1,,,7.8,0,,0 
110,77.4,3,,,9.9,0.1,0.1,1 
120,73.4,0.2,,,6.1,0.1,1.8,0 
130,58.4,0.2,,,0.6,0,3.2,0 
140,48.2,1.2,0.7,,2.3,0.3,1.5,0 
150,51.3,0,0,,1,0,1.4,0 
160,30.5,0.7,0.6,,0.4,0.1,0.1,0 
170,16.6,0.9,1,0.2,1.4,0.1,1.6,0 
180,18.7,0.3,1.4,0.1,1.5,0,0,0 
190,17.9,0.1,0.6,0.2,0.7,0.2,0.2,0 
200,3.8,0.5,4.7,1.1,4,0.8,0.8,0.3 
210,1.3,0,1.2,0.4,0.5,0.1,0,0.4 
220,3.6,0,0,0,0,0,0.2,0 
230,2.3,0,0,0,0,0,0.1,0 
240,1.4,0,0,0,0,0,0.2,0 
250,1.1,0,0,0,0,0,0,0 
260,14.5,0,0,0,0.5,0,7.9,0 
270,34.5,0,0,0,0,0,5.1,0 
280,3.3,0,0,0,0,0,0.1,0 
290,0,0,0,0,0,0,0,0 
300,0,0,0,0,0,0,0,0 
310,0,0,0,0,0,0,0,0 
320,0,0,0,0,0,0,0.1,0 
330,0,0,0,0,0,0,0.2,0 
340,0,0,0,0,0,0,2.2,0 
350,0,0,0,0,0,0,0.4,0 
360,0,0,0,0,0,0,0.3,0 
370,0,0,0,0,0,0,0.1,0 
380,0,0,0,0,0,0,0.2,0 
390,0,0,0,0,0,0,0.3,0 
400,0,0,0,0,0,0,1.3,0 
410,0,0,0,0,0,0,0.5,0 
