time,recvpackets@tsung_controller@ip-172-31-22-181 
10,238 
20,428.0 
30,141.0 
40,66.0 
50,311.0 
60,829.0 
70,351.0 
80,144.0 
90,514.0 
100,861.0 
110,1334.0 
120,1873.0 
130,1151.0 
140,775.0 
150,811.0 
160,656.0 
170,439.0 
180,406.0 
190,378.0 
200,256.0 
210,416.0 
220,143.0 
230,54.0 
240,52.0 
250,36.0 
260,24.0 
270,631.0 
280,688.0 
290,70.0 
300,4.0 
310,3.0 
320,7.0 
330,3.0 
340,14.0 
350,37.0 
360,11.0 
370,87.0 
380,3.0 
390,3.0 
400,7.0 
410,25.0 
