time,users,connected 
0,15,14 
10,24,23 
20,30,30 
30,49,47 
40,75,75 
50,90,90 
60,125,125 
70,154,153 
80,198,191 
90,254,245 
100,339,316 
110,411,386 
120,392,388 
130,340,337 
140,306,301 
150,258,256 
160,219,220 
170,207,204 
180,193,193 
190,173,172 
200,156,155 
210,152,152 
220,148,148 
230,148,148 
240,145,145 
250,145,145 
260,116,122 
270,39,41 
280,36,36 
290,36,36 
300,36,36 
310,36,36 
320,36,36 
330,35,34 
340,30,29 
350,30,30 
360,30,30 
370,30,30 
380,30,30 
390,30,30 
400,30,30 
410,30,30 
