time,502,200,500,422,400,302,504,404 
70,4,270,,,,70,,45 
80,145,289,,,17,71,,47 
90,421,310,,,54,71,,55 
100,951,311,,,132,71,,55 
110,1725,341,,,231,72,1,65 
120,2459,343,,,292,73,19,65 
130,3043,345,,,298,73,51,65 
140,3525,357,7,,321,76,66,65 
150,4038,357,7,,331,76,80,65 
160,4343,364,13,,335,77,81,65 
170,4509,373,23,2,349,78,97,65 
180,4696,376,37,3,364,78,97,65 
190,4875,377,43,5,371,80,99,65 
200,4913,382,90,16,411,88,107,68 
210,4926,382,102,20,416,89,107,72 
220,4962,382,102,20,416,89,109,72 
230,4985,382,102,20,416,89,110,72 
240,4999,382,102,20,416,89,112,72 
250,5010,382,102,20,416,89,112,72 
260,5155,382,102,20,421,89,191,72 
270,5500,382,102,20,421,89,242,72 
280,5533,382,102,20,421,89,243,72 
290,5533,382,102,20,421,89,243,72 
300,5533,382,102,20,421,89,243,72 
310,5533,382,102,20,421,89,243,72 
320,5533,382,102,20,421,89,244,72 
330,5533,382,102,20,421,89,246,72 
340,5533,382,102,20,421,89,268,72 
350,5533,382,102,20,421,89,272,72 
360,5533,382,102,20,421,89,275,72 
370,5533,382,102,20,421,89,276,72 
380,5533,382,102,20,421,89,278,72 
390,5533,382,102,20,421,89,281,72 
400,5533,382,102,20,421,89,294,72 
410,5533,382,102,20,421,89,299,72 
