time,page 
0,783.135 
10,799.425 
20,799.425 
30,799.425 
40,35068.521 
50,40367.839 
60,43001.295 
70,47463.568 
80,54809.135 
90,54809.135 
100,55228.142 
110,59211.583 
120,59888.253 
130,59978.154 
140,59978.154 
150,59978.154 
160,60000.848 
170,60000.848 
180,60000.848 
190,60000.848 
200,90408.978 
210,90408.978 
220,90408.978 
230,90408.978 
240,90408.978 
250,90408.978 
260,94871.025 
270,94871.025 
280,94871.025 
290,94871.025 
300,94871.025 
310,94871.025 
320,94871.025 
330,94871.025 
340,94871.025 
350,94871.025 
360,94871.025 
370,94871.025 
380,119703.231 
390,119867.491 
400,119939.492 
410,119939.492 
